CH06,edad2,educ,ingreso_total_familiar,ix_tot,horastrab,CH04,PP07H,PP03C,CAT_OCUP,CH07,informal
0.5455923735970668,0.43885391589392064,7.6810096815202344,-0.9761202595898324,0.5417675112442158,0.11500665358764223,1,0,1,3.0,2.0,1
-0.1118078392264184,-0.23365858259612954,0.14774830808174813,0.8869864673422033,-0.096744198436467,0.5850028849674797,1,0,1,3.0,1.0,1
-0.1118078392264184,-0.23365858259612954,0.31515411638038116,-0.9761202595898324,-0.7352559081171498,1.994991579106992,0,1,1,3.0,3.0,0
0.5455923735970668,0.43885391589392064,0.31515411638038116,1.8558019653468618,-0.096744198436467,0.11500665358764223,1,1,1,3.0,2.0,0
2.0247428524499083,2.353455824860492,-0.10336040436620142,-0.9761202595898324,1.1802792209248987,-0.9424848670169921,0,1,0,3.0,4.0,0
0.052542213979452884,-0.0758240166239749,0.31515411638038116,-0.15635329973973666,0.5417675112442158,-0.5312381645596344,0,0,0,3.0,3.0,1
0.6277674002000024,0.5306381471929453,-0.10336040436620142,0.46517910436479043,0.5417675112442158,1.0549991163473171,1,1,1,3.0,2.0,0
0.956467506611745,0.9149310034729741,-0.354469116814151,-0.9761202595898324,1.8187909306055814,0.5850028849674797,0,1,1,3.0,2.0,0
1.3673426396264232,1.4338979187618521,0.31515411638038116,1.1105592745740476,-0.7352559081171498,-0.17874099102475619,1,1,1,3.0,1.0,0
-1.5087832914763244,-1.298184106353977,-0.27076621266483447,-0.20097843206321278,-0.096744198436467,0.5850028849674797,1,0,1,3.0,1.0,1
-0.029632812623482763,-0.15559909616424872,-0.521874925112784,-0.648213475649794,0.5417675112442158,-0.8249858091720327,0,0,1,3.0,5.0,1
-0.5226829722410966,-0.5982221181296389,-0.27076621266483447,-0.4283668818718139,0.5417675112442158,0.40875429820004067,1,1,0,3.0,5.0,0
2.1890929056557797,2.600501232469082,0.31515411638038116,1.185083543651329,-1.3737676177978326,-1.9999763876216263,0,0,1,2.0,3.0,0
0.052542213979452884,-0.0758240166239749,-0.43817202096346747,0.24756823865912866,1.1802792209248987,1.7012439344945938,1,0,1,3.0,1.0,1
1.1208175598176162,1.1173709902633464,-0.8566865417100501,-0.9761202595898324,-0.096744198436467,-1.529980156241789,1,0,1,1.0,2.0,0
-0.687033025446968,-0.7320383805842917,-0.6055778292621006,-0.2755027011404942,0.5417675112442158,0.11500665358764223,1,0,1,3.0,1.0,1
-0.2761578924322897,-0.38463077613471225,0.23145121223106466,0.5665321103098931,-0.096744198436467,0.11500665358764223,1,1,1,3.0,5.0,0
-0.1118078392264184,-0.23365858259612954,0.14774830808174813,-0.30540183789429953,-0.096744198436467,-0.766236280249553,0,1,1,3.0,5.0,0
-0.7692080520499036,-0.7963731221490287,0.14774830808174813,3.122714539660646,-0.7352559081171498,0.5850028849674797,1,0,1,2.0,1.0,0
-0.7692080520499036,-0.7963731221490287,-0.10336040436620142,-0.9761202595898324,-0.7352559081171498,0.5850028849674797,1,0,1,2.0,1.0,0
0.2990672937882598,0.17379478064720444,0.31515411638038116,0.36531658380123333,0.5417675112442158,0.11500665358764223,1,0,1,1.0,2.0,0
-1.1800831850645819,-1.0923129333468187,0.23145121223106466,0.5143651219557962,-0.7352559081171498,-0.4724886356371546,1,0,1,2.0,5.0,0
-1.0979081584616461,-1.0365561573240467,0.14774830808174813,0.02995737295346691,0.5417675112442158,0.11500665358764223,0,1,1,3.0,5.0,0
-1.1800831850645819,-1.0923129333468187,-0.521874925112784,-0.5289746451261438,-0.7352559081171498,-0.11999146210227651,1,0,1,3.0,3.0,1
-0.687033025446968,-0.7320383805842917,-0.10336040436620142,-0.9761202595898324,0.5417675112442158,0.9962495874248375,1,0,0,3.0,2.0,1
-1.5087832914763244,-1.298184106353977,0.31515411638038116,-0.45445037604886235,-0.7352559081171498,1.642494405572114,0,1,0,3.0,5.0,0
1.9425678258469727,2.2325065107187867,-0.27076621266483447,-0.3208358140202045,-1.3737676177978326,-1.1774829827069109,1,0,1,3.0,4.0,1
0.4634173469941311,0.34878527770328893,-0.27076621266483447,-0.536427072033872,-0.7352559081171498,-0.766236280249553,0,0,1,3.0,3.0,1
0.4634173469941311,0.34878527770328893,-0.10336040436620142,-0.9761202595898324,-0.096744198436467,-0.8837353380945124,0,0,1,3.0,3.0,1
