CH04,CH06,CH07,CH08,NIVEL_ED,ESTADO,CAT_INAC,IPCF,CH14,CH15_COD,CH16_COD,PP03C,PP04B_COD,PP06H,PP07A,AÑO,CAT_OCUP,PP07H,informal,EMPLEO,edad2,CH12,CH13,educ,ingreso_total_familiar,horastrab,ix_tot
1.0,22.0,5.0,4.0,5.0,1.0,0.0,966620.25,1.0,26.0,26.0,1.0,5601.0,0.0,3.0,2025,3.0,2.0,1,2.0,484.0,7.0,2.0,13.0,3866481.0,,4
1.0,49.0,1.0,1.0,3.0,1.0,0.0,412000.0,3.0,,,1.0,4803.0,0.0,6.0,2025,3.0,1.0,0,1.0,2401.0,4.0,2.0,,2060000.0,48.0,5
1.0,47.0,2.0,1.0,5.0,1.0,0.0,0.0,99.0,,,1.0,4803.0,0.0,0.0,2025,1.0,0.0,0,1.0,2209.0,7.0,2.0,,0.0,49.0,5
2.0,47.0,2.0,1.0,6.0,1.0,0.0,0.0,,,,0.0,8501.0,0.0,6.0,2025,3.0,1.0,0,1.0,2209.0,7.0,1.0,17.0,0.0,,5
1.0,22.0,5.0,1.0,5.0,1.0,0.0,0.0,4.0,,,1.0,4807.0,2.0,0.0,2025,2.0,0.0,0,2.0,484.0,7.0,2.0,16.0,0.0,,5
2.0,65.0,2.0,1.0,2.0,1.0,0.0,647054.0,,,,1.0,101.0,1.0,0.0,2025,2.0,0.0,0,2.0,4225.0,2.0,1.0,6.0,1294108.0,,2
1.0,67.0,2.0,1.0,2.0,1.0,0.0,647054.0,,,,1.0,101.0,1.0,0.0,2025,2.0,0.0,0,2.0,4489.0,2.0,1.0,6.0,1294108.0,36.0,2
1.0,47.0,5.0,4.0,4.0,1.0,0.0,400000.0,,6.0,,1.0,4000.0,0.0,5.0,2025,3.0,2.0,1,2.0,2209.0,4.0,1.0,,400000.0,48.0,1
2.0,34.0,2.0,1.0,4.0,1.0,0.0,369666.67,,70.0,,1.0,9700.0,0.0,0.0,2025,3.0,2.0,1,2.0,1156.0,4.0,1.0,,2218000.0,,6
1.0,34.0,5.0,1.0,4.0,1.0,0.0,319840.0,,,,1.0,8800.0,0.0,5.0,2025,3.0,2.0,1,2.0,1156.0,4.0,1.0,,1599200.0,,5
1.0,28.0,5.0,1.0,4.0,1.0,0.0,319840.0,,,,1.0,8401.0,0.0,6.0,2025,3.0,1.0,0,1.0,784.0,4.0,1.0,,1599200.0,,5
1.0,29.0,5.0,1.0,6.0,1.0,0.0,1025000.0,,,,1.0,9301.0,0.0,5.0,2025,3.0,2.0,1,2.0,841.0,6.0,1.0,15.0,2050000.0,36.0,2
2.0,29.0,5.0,1.0,6.0,1.0,0.0,1025000.0,,,,2.0,9301.0,0.0,6.0,2025,3.0,1.0,0,1.0,841.0,6.0,1.0,15.0,2050000.0,,2
1.0,40.0,2.0,1.0,4.0,1.0,0.0,369666.67,,70.0,,1.0,2701.0,0.0,6.0,2025,3.0,1.0,0,1.0,1600.0,4.0,1.0,,2218000.0,45.0,6
2.0,38.0,3.0,1.0,5.0,1.0,0.0,220666.67,3.0,70.0,,1.0,8501.0,0.0,6.0,2025,3.0,2.0,1,2.0,1444.0,6.0,2.0,15.0,662000.0,30.0,3
1.0,43.0,2.0,4.0,6.0,1.0,0.0,302142.86,,,,1.0,4803.0,1.0,0.0,2025,2.0,0.0,0,2.0,1849.0,6.0,1.0,15.0,2115000.0,,7
2.0,45.0,2.0,4.0,3.0,1.0,0.0,302142.86,2.0,,,1.0,9700.0,0.0,0.0,2025,3.0,2.0,1,2.0,2025.0,4.0,2.0,,2115000.0,,7
2.0,39.0,3.0,4.0,3.0,1.0,0.0,302142.86,4.0,,,1.0,4803.0,1.0,0.0,2025,2.0,0.0,0,2.0,1521.0,4.0,2.0,,2115000.0,,7
2.0,62.0,3.0,1.0,2.0,1.0,0.0,0.0,,,,1.0,4803.0,0.0,0.0,2025,2.0,0.0,0,2.0,3844.0,2.0,1.0,6.0,0.0,66.0,1
1.0,44.0,5.0,4.0,4.0,1.0,0.0,0.0,,,,1.0,4903.0,0.0,5.0,2025,3.0,2.0,1,2.0,1936.0,4.0,1.0,,0.0,,3
1.0,49.0,2.0,1.0,6.0,1.0,0.0,0.0,,,,1.0,8600.0,0.0,6.0,2025,3.0,1.0,0,1.0,2401.0,7.0,1.0,17.0,0.0,48.0,8
2.0,48.0,2.0,1.0,6.0,1.0,0.0,0.0,,,,1.0,8600.0,0.0,6.0,2025,3.0,1.0,0,1.0,2304.0,7.0,1.0,17.0,0.0,,8
1.0,25.0,1.0,4.0,3.0,1.0,0.0,0.0,5.0,,,1.0,5601.0,0.0,0.0,2025,2.0,0.0,0,2.0,625.0,4.0,2.0,,0.0,,5
1.0,24.0,5.0,1.0,6.0,1.0,0.0,0.0,,,,1.0,9602.0,0.0,0.0,2025,2.0,0.0,0,2.0,576.0,6.0,1.0,15.0,0.0,,8
2.0,23.0,5.0,1.0,6.0,1.0,0.0,0.0,,,,2.0,8401.0,0.0,5.0,2025,3.0,1.0,0,1.0,529.0,6.0,1.0,15.0,0.0,,8
2.0,20.0,5.0,1.0,5.0,1.0,0.0,0.0,3.0,,,1.0,4807.0,0.0,5.0,2025,3.0,2.0,1,2.0,400.0,7.0,2.0,15.0,0.0,,8
2.0,20.0,1.0,1.0,5.0,1.0,0.0,0.0,3.0,,,1.0,3200.0,1.0,0.0,2025,2.0,0.0,0,2.0,400.0,7.0,2.0,15.0,0.0,,8
2.0,21.0,1.0,1.0,5.0,1.0,0.0,0.0,3.0,,,1.0,3200.0,1.0,0.0,2025,2.0,0.0,0,2.0,441.0,7.0,2.0,15.0,0.0,,8
1.0,53.0,2.0,4.0,3.0,1.0,0.0,212800.0,2.0,,,1.0,4000.0,0.0,0.0,2025,2.0,0.0,0,2.0,2809.0,4.0,2.0,,1064000.0,40.0,5
2.0,53.0,2.0,4.0,3.0,1.0,0.0,212800.0,3.0,,,2.0,9700.0,0.0,0.0,2025,3.0,2.0,1,2.0,2809.0,4.0,2.0,,1064000.0,,5
1.0,15.0,5.0,4.0,1.0,1.0,0.0,139111.11,98.0,,,1.0,4000.0,0.0,3.0,2025,3.0,2.0,1,2.0,225.0,9.0,2.0,,1252000.0,,9
1.0,49.0,3.0,1.0,4.0,1.0,0.0,600000.0,,,,1.0,2100.0,0.0,6.0,2025,3.0,1.0,0,1.0,2401.0,4.0,1.0,,1800000.0,54.0,3
2.0,22.0,5.0,1.0,5.0,1.0,0.0,600000.0,4.0,,,1.0,8600.0,0.0,3.0,2025,3.0,2.0,1,2.0,484.0,7.0,2.0,16.0,1800000.0,,3
